,θ,set,latitude,longitude
334,161,6,-12.50,142.44
335,171,6,-12.50,142.44
336,157,6,-12.50,142.44
337,189,6,-12.50,142.44
338,190,6,-12.50,142.44
339,159,6,-12.50,142.44
340,176,6,-12.50,142.44
341,201,6,-12.50,142.44
342,177,6,-12.50,142.44
343,184,6,-12.50,142.44
344,169,6,-12.50,142.44
345,172,6,-12.50,142.44
346,174,6,-12.50,142.44
347,180,6,-12.50,142.44
348,180,6,-12.50,142.44
349,184,6,-12.50,142.44
350,181,6,-12.50,142.44
351,172,7,-11.54,142.30
352,170,7,-11.54,142.30
353,141,7,-11.54,142.30
354,170,7,-11.54,142.30
355,163,7,-11.54,142.30
356,172,7,-11.54,142.30
357,182,7,-11.54,142.30
358,154,7,-11.54,142.30
359,198,7,-11.54,142.30
360,186,7,-11.54,142.30
361,174,7,-11.54,142.30
362,169,7,-11.54,142.30
363,190,7,-11.54,142.30
364,172,7,-11.54,142.30
365,187,7,-11.54,142.30
366,184,7,-11.54,142.30
367,179,7,-11.54,142.30
368,173,7,-11.54,142.30
369,202,7,-11.54,142.30
370,202,7,-11.54,142.30
371,171,7,-11.54,142.30
372,171,7,-11.54,142.30
373,188,7,-11.54,142.30
374,165,7,-11.54,142.30
375,195,7,-11.54,142.30
376,170,7,-11.54,142.30
377,187,7,-11.54,142.30
378,200,7,-11.54,142.30
379,195,7,-11.54,142.30
380,193,7,-11.54,142.30
381,165,7,-11.54,142.30
382,159,7,-11.54,142.30
383,152,7,-11.54,142.30
384,190,7,-11.54,142.30
385,186,7,-11.54,142.30
386,158,7,-11.54,142.30
387,127,7,-11.54,142.30
388,180,7,-11.54,142.30
389,108,7,-11.54,142.30
390,194,7,-11.54,142.30
391,167,7,-11.54,142.30
392,170,7,-11.54,142.30
393,182,7,-11.54,142.30
394,173,7,-11.54,142.30
395,178,7,-11.54,142.30
396,172,7,-11.54,142.30
397,175,7,-11.54,142.30
398,169,7,-11.54,142.30
399,185,7,-11.54,142.30
400,191,7,-11.54,142.30
401,176,7,-11.54,142.30
402,165,7,-11.54,142.30
403,177,7,-11.54,142.30
404,166,7,-11.54,142.30
405,179,7,-11.54,142.30
406,165,7,-11.54,142.30
407,183,7,-11.54,142.30
408,183,7,-11.54,142.30
409,160,7,-11.54,142.30
410,158,7,-11.54,142.30
411,189,7,-11.54,142.30
412,158,7,-11.54,142.30
413,128,7,-11.54,142.30
414,171,7,-11.54,142.30
415,176,7,-11.54,142.30
416,178,7,-11.54,142.30
417,166,8,-12.06,142.33
418,188,8,-12.06,142.33
419,192,8,-12.06,142.33
420,177,8,-12.06,142.33
421,114,8,-12.06,142.33
422,169,8,-12.06,142.33
423,251,8,-12.06,142.33
424,154,8,-12.06,142.33
425,198,8,-12.06,142.33
426,189,8,-12.06,142.33
427,178,8,-12.06,142.33
428,177,8,-12.06,142.33
429,189,8,-12.06,142.33
430,155,8,-12.06,142.33
431,165,8,-12.06,142.33
432,161,8,-12.06,142.33
433,175,8,-12.06,142.33
434,173,8,-12.06,142.33
435,182,8,-12.06,142.33
436,179,8,-12.06,142.33
437,178,8,-12.06,142.33
438,180,8,-12.06,142.33
439,190,8,-12.06,142.33
440,175,8,-12.06,142.33
441,161,8,-12.06,142.33
442,179,8,-12.06,142.33
443,156,8,-12.06,142.33
444,184,8,-12.06,142.33
445,187,8,-12.06,142.33
446,192,8,-12.06,142.33
447,168,8,-12.06,142.33
448,152,8,-12.06,142.33
449,173,8,-12.06,142.33
450,188,8,-12.06,142.33
451,175,8,-12.06,142.33
452,152,8,-12.06,142.33
453,166,8,-12.06,142.33
454,177,8,-12.06,142.33
455,161,8,-12.06,142.33
456,182,8,-12.06,142.33
457,179,8,-12.06,142.33
458,161,8,-12.06,142.33
459,187,8,-12.06,142.33
460,199,8,-12.06,142.33
461,140,8,-12.06,142.33
462,132,8,-12.06,142.33
463,178,8,-12.29,142.39
464,189,8,-12.29,142.39
465,184.5,9,-12.29,142.39
466,176.5,9,-12.29,142.39
467,187.5,9,-12.29,142.39
468,183.5,9,-12.29,142.39
469,189.5,9,-12.29,142.39
470,144.5,9,-12.29,142.39
471,195.5,9,-12.29,142.39
472,191.5,9,-12.29,142.39
473,157.5,9,-12.29,142.39
474,180.5,9,-12.29,142.39
475,173.5,9,-12.29,142.39
476,174.5,9,-12.29,142.39
477,173.5,9,-12.29,142.39
478,191.5,9,-12.29,142.39
479,152.5,9,-12.29,142.39
480,187.5,9,-12.29,142.39
481,154.5,9,-12.29,142.39
482,165.5,9,-12.29,142.39
483,159.5,9,-12.29,142.39
484,186.5,9,-12.29,142.39
485,198.5,9,-12.29,142.39
486,161.5,9,-12.29,142.39
487,137.5,9,-12.29,142.39
488,175.5,9,-12.29,142.39
489,195.5,9,-12.29,142.39
490,144.4,9,-12.29,142.39
491,164.5,9,-12.29,142.39
492,162.5,9,-12.29,142.39
493,199.5,9,-12.29,142.39
494,184.5,9,-12.29,142.39
495,172.5,9,-12.29,142.39
496,194.5,9,-12.29,142.39
497,208.5,9,-12.29,142.39
498,216.5,9,-12.29,142.39
499,200.5,9,-12.29,142.39
500,187.5,9,-12.29,142.39
501,177.5,9,-12.29,142.39
502,134.5,9,-12.29,142.39
503,170.5,9,-12.29,142.39
504,194.5,9,-12.29,142.39
505,172.5,9,-12.29,142.39
506,195.5,9,-12.29,142.39
507,164.5,9,-12.29,142.39
508,216.5,9,-12.29,142.39
509,175.5,9,-12.29,142.39
510,201.5,9,-12.29,142.39
511,163.5,9,-12.29,142.39
512,154.5,9,-12.29,142.39
513,183.5,9,-12.29,142.39
514,204.5,9,-12.29,142.39
515,174.5,9,-12.29,142.39
516,166.5,9,-12.29,142.39
517,151.5,9,-12.29,142.39
518,156.5,9,-12.29,142.39
519,165.5,9,-12.29,142.39
520,187.5,9,-12.29,142.39
521,170.5,9,-12.29,142.39
522,169.5,9,-12.29,142.39
523,148.5,9,-12.29,142.39
524,167.5,9,-12.29,142.39
525,146.5,9,-12.29,142.39
526,157.5,9,-12.29,142.39
527,192.5,9,-12.29,142.39
528,154.5,9,-12.29,142.39
529,151.5,9,-12.29,142.39
530,163.5,9,-12.29,142.39
531,156.5,9,-12.29,142.39
532,160.5,9,-12.29,142.39
533,184.5,9,-12.29,142.39
534,185.5,9,-12.29,142.39
535,179.5,9,-12.29,142.39
536,176.5,9,-12.29,142.39
537,83.5,9,-12.29,142.39
538,159.5,9,-12.29,142.39
539,165.5,9,-12.29,142.39
540,164.5,9,-12.29,142.39
541,169.5,9,-12.29,142.39
542,174.5,9,-12.29,142.39
543,173.5,9,-12.29,142.39
544,188.5,9,-12.29,142.39
545,187.5,9,-12.29,142.39
546,166.5,9,-12.29,142.39
547,170.5,9,-12.29,142.39
548,157.5,9,-12.29,142.39
549,165.5,9,-12.29,142.39
550,168.5,9,-12.29,142.39
551,159.5,9,-12.29,142.39
552,160.5,9,-12.29,142.39
553,182.5,9,-12.29,142.39
554,148.5,9,-12.29,142.39
555,168.5,9,-12.29,142.39
556,173.5,9,-12.29,142.39
557,182.5,9,-12.29,142.39
558,165.5,9,-12.29,142.39
559,157.5,9,-12.29,142.39
560,170.5,9,-12.29,142.39
561,175.5,9,-12.29,142.39
562,160.5,9,-12.29,142.39
563,177.5,9,-12.29,142.39
564,177.5,9,-12.29,142.39
565,169,10,-13.12,142.46
566,176,10,-13.12,142.46
567,168,10,-13.12,142.46
568,171,10,-13.12,142.46
569,146,10,-13.12,142.46
570,181,10,-13.12,142.46
571,176,10,-13.12,142.46
572,186,10,-13.12,142.46
573,171,10,-13.12,142.46
574,164,10,-13.12,142.46
575,167,10,-13.12,142.46
576,160,10,-13.12,142.46
577,163,10,-13.12,142.46
578,164,10,-13.12,142.46
579,175,10,-13.12,142.46
580,186,10,-13.12,142.46
581,182,10,-13.12,142.46
582,182,10,-13.12,142.46
583,171,10,-13.12,142.46
584,201,10,-13.12,142.46
585,184,10,-13.12,142.46
586,179,10,-13.12,142.46
587,172,10,-13.12,142.46
588,167,10,-13.12,142.46
589,173,10,-13.12,142.46
590,153,10,-13.12,142.46
591,161,10,-13.12,142.46
592,178,10,-13.12,142.46
593,170,10,-13.12,142.46
594,175,10,-13.12,142.46
595,180,10,-13.12,142.46
596,173,10,-13.12,142.46
597,172,10,-13.12,142.46
598,165,10,-13.12,142.46
599,171,10,-13.12,142.46
600,161,10,-13.12,142.46
601,171,10,-13.12,142.46
602,173,10,-13.12,142.46
603,162,10,-13.12,142.46
604,178,10,-13.12,142.46
605,172,10,-13.12,142.46
606,183,10,-13.12,142.46
607,166,10,-13.12,142.46
608,170,10,-13.12,142.46
609,176,10,-13.12,142.46
610,172,10,-13.12,142.46
611,171,10,-13.12,142.46
612,174,10,-13.12,142.46
613,188,10,-13.12,142.46
614,176,10,-13.12,142.46
615,195.5,11,-15.02,143.41
616,180.5,11,-15.02,143.41
617,181.5,11,-15.02,143.41
618,185.5,11,-15.02,143.41
619,177.5,11,-15.02,143.41
620,175.5,11,-15.02,143.41
621,178.5,11,-15.02,143.41
622,178.5,11,-15.02,143.41
623,176.5,11,-15.02,143.41
624,179.5,11,-15.02,143.41
625,184.5,11,-15.02,143.41
626,176.5,11,-15.02,143.41
627,189.5,11,-15.02,143.41
628,168.5,11,-15.02,143.41
629,187.5,11,-15.02,143.41
630,190.5,11,-15.02,143.41
631,184.5,11,-15.02,143.41
632,176.5,11,-15.02,143.41
633,186.5,11,-15.02,143.41
634,193.5,11,-15.02,143.41
635,182.5,11,-15.02,143.41
636,216.5,11,-15.02,143.41
637,190.5,11,-15.02,143.41
638,207.5,11,-15.02,143.41
639,181.5,11,-15.02,143.41
640,191.5,11,-15.02,143.41
641,182.5,11,-15.02,143.41
642,185.5,11,-15.02,143.41
643,166.5,11,-15.02,143.41
644,176.5,11,-15.02,143.41
645,173.5,11,-15.02,143.41
646,176.5,11,-15.02,143.41
647,194.5,11,-15.02,143.41
648,199.5,11,-15.02,143.41
649,182.5,11,-15.02,143.41
650,188.5,11,-15.02,143.41
651,180.5,11,-15.02,143.41
652,170,12,-14.47,143.30
653,167,12,-14.47,143.30
654,189,12,-14.47,143.30
655,227,12,-14.47,143.30
656,141,12,-14.47,143.30
657,178,12,-14.47,143.30
658,183,12,-14.47,143.30
659,180,12,-14.47,143.30
660,175,12,-14.47,143.30
661,160,12,-14.47,143.30
662,173,12,-14.47,143.30
663,168,12,-14.47,143.30
664,178,12,-14.47,143.30
665,179,12,-14.47,143.30
666,123,12,-14.47,143.30
667,191,12,-14.47,143.30
668,18,12,-14.47,143.30
669,180,12,-14.47,143.30
670,175,12,-14.47,143.30
671,188,12,-14.47,143.30
672,177,12,-14.47,143.30
673,189,12,-14.47,143.30
674,179,12,-14.47,143.30
675,179,12,-14.47,143.30
676,188,12,-14.47,143.30
677,183,12,-14.47,143.30
678,178,12,-14.47,143.30
679,176,12,-14.47,143.30
680,184,12,-14.47,143.30
681,155,12,-14.47,143.30
682,165,12,-14.47,143.30
683,195.5,13,-13.50,143.12
684,196.5,13,-13.50,143.12
685,180.5,13,-13.50,143.12
686,181.5,13,-13.50,143.12
687,179.5,13,-13.50,143.12
688,186.5,13,-13.50,143.12
689,164.5,13,-13.50,143.12
690,164.5,13,-13.50,143.12
691,172.5,13,-13.50,143.12
692,177.5,13,-13.50,143.12
693,179.5,13,-13.50,143.12
694,164.5,13,-13.50,143.12
695,183.5,13,-13.50,143.12
696,162.5,13,-13.50,143.12
697,182.5,13,-13.50,143.12
698,181.5,13,-13.50,143.12
699,197.5,13,-13.50,143.12
700,183.5,13,-13.50,143.12
701,166.5,13,-13.50,143.12
702,176.5,13,-13.50,143.12
703,173.5,13,-13.50,143.12
704,178.5,13,-13.50,143.12
705,174.5,13,-13.50,143.12
706,190.5,13,-13.50,143.12
707,187.5,13,-13.50,143.12
708,175.5,13,-13.50,143.12
709,166.5,13,-13.50,143.12
710,201.5,13,-13.50,143.12
711,202.5,13,-13.50,143.12
712,184.5,13,-13.50,143.12
713,187.5,13,-13.50,143.12
714,179.5,13,-13.50,143.12
715,195.5,13,-13.50,143.12
716,186.5,13,-13.50,143.12
717,162.5,13,-13.50,143.12
718,181.5,13,-13.50,143.12
719,180.5,13,-13.50,143.12
720,180.5,13,-13.50,143.12
721,188.5,13,-13.50,143.12
722,176.5,13,-13.50,143.12
723,190.5,13,-13.50,143.12
724,176.5,13,-13.50,143.12
725,187.5,13,-13.50,143.12
726,174.5,13,-13.50,143.12
727,182.5,13,-13.50,143.12
728,161.5,13,-13.50,143.12
729,185.5,13,-13.50,143.12
730,177.5,13,-13.50,143.12
731,190.5,13,-13.50,143.12
732,168.5,13,-13.50,143.12
733,179.5,13,-13.50,143.12
734,178.5,13,-13.50,143.12
735,182.5,13,-13.50,143.12
736,174.5,13,-13.50,143.12
737,180.5,13,-13.50,143.12
738,169.5,13,-13.50,143.12
739,187.5,13,-13.50,143.12
740,180.5,13,-13.50,143.12
741,186.5,13,-13.50,143.12
742,176.5,13,-13.50,143.12
743,186.5,13,-13.50,143.12
744,182.5,13,-13.50,143.12
745,204.5,13,-13.50,143.12
746,199.5,13,-13.50,143.12
747,194.5,13,-13.50,143.12
748,198.5,13,-13.50,143.12
749,180.5,13,-13.50,143.12
750,172.5,13,-13.50,143.12
751,187.5,13,-13.50,143.12
752,206.5,13,-13.50,143.12
753,195.5,13,-13.50,143.12
754,238.5,13,-13.50,143.12
755,176.5,13,-13.50,143.12
756,186.5,13,-13.50,143.12
757,210.5,13,-13.50,143.12
758,156.5,13,-13.50,143.12
759,192.5,13,-13.50,143.12
760,171.5,13,-13.50,143.12
761,172.5,13,-13.50,143.12
762,185.5,13,-13.50,143.12
763,162.5,13,-13.50,143.12
764,184.5,13,-13.50,143.12
765,172.5,13,-13.50,143.12
766,199.5,13,-13.50,143.12
767,185.5,13,-13.50,143.12
768,177.5,13,-13.50,143.12
769,181.5,13,-13.50,143.12
770,191.5,13,-13.50,143.12
771,174.5,13,-13.50,143.12
772,182.5,13,-13.50,143.12
773,178.5,13,-13.50,143.12
774,198.5,13,-13.50,143.12
775,178.5,13,-13.50,143.12
776,184.5,13,-13.50,143.12
777,189.5,13,-13.50,143.12
778,177.5,13,-13.50,143.12
779,185.5,13,-13.50,143.12
780,171.5,13,-13.50,143.12
781,178.5,13,-13.50,143.12
782,195.5,13,-13.50,143.12
783,166.5,13,-13.50,143.12
784,164.5,13,-13.50,143.12
785,187.5,13,-13.50,143.12
786,187.5,13,-13.50,143.12
787,179.5,13,-13.50,143.12
788,178.5,13,-13.50,143.12
789,183.5,13,-13.50,143.12
790,150.5,13,-13.50,143.12
791,181.5,13,-13.50,143.12
792,177.5,13,-13.50,143.12
793,168.5,13,-13.50,143.12
794,176.5,13,-13.50,143.12
795,176.5,13,-13.50,143.12
796,177.5,13,-13.50,143.12
797,181.5,13,-13.50,143.12
798,182.5,13,-13.50,143.12
799,184.5,13,-13.50,143.12
800,188.5,13,-13.50,143.12
801,183.5,13,-13.50,143.12
802,180.5,13,-13.50,143.12
803,162.5,13,-13.50,143.12
804,198.5,13,-13.50,143.12
805,196.5,13,-13.50,143.12
806,172.5,13,-13.50,143.12
807,180.5,13,-13.50,143.12
808,185.5,13,-13.50,143.12
809,196.5,13,-13.50,143.12
810,178.5,13,-13.50,143.12
811,178.5,13,-13.50,143.12
812,179.5,13,-13.50,143.12
813,173.5,13,-13.50,143.12
814,190.5,13,-13.50,143.12
815,180.5,14,-13.50,143.12
816,195.5,14,-13.50,143.12
817,191.5,14,-13.50,143.12
818,189.5,14,-13.50,143.12
819,162.5,14,-13.50,143.12
820,181.5,14,-13.50,143.12
821,204.5,14,-13.50,143.12
822,190.5,14,-13.50,143.12
823,182.5,14,-13.50,143.12
824,174.5,14,-13.50,143.12
825,174.5,14,-13.50,143.12
826,186.5,14,-13.50,143.12
827,164.5,14,-13.50,143.12
828,165.5,14,-13.50,143.12
829,190.5,14,-13.50,143.12
830,194.5,14,-13.50,143.12
831,191.5,14,-13.50,143.12
832,159.5,14,-13.50,143.12
833,177.5,14,-13.50,143.12
834,164.5,14,-13.50,143.12
835,173.5,14,-13.50,143.12
836,167.5,14,-13.50,143.12
837,175.5,14,-13.50,143.12
838,186.5,14,-13.50,143.12
839,180.5,14,-13.50,143.12
840,192.5,14,-13.50,143.12
841,175.5,14,-13.50,143.12
842,186.5,14,-13.50,143.12
843,200.5,14,-13.50,143.12
844,187.5,14,-13.50,143.12
845,179.5,14,-13.50,143.12
846,171.5,14,-13.50,143.12
847,178.5,14,-13.50,143.12
848,174.5,14,-13.50,143.12
849,155.5,14,-13.50,143.12
850,165.5,14,-13.50,143.12
851,151.5,14,-13.50,143.12
852,183.5,14,-13.50,143.12
853,164.5,14,-13.50,143.12
854,155.5,14,-13.50,143.12
855,173.5,14,-13.50,143.12
856,168.5,14,-13.50,143.12
857,172.5,14,-13.50,143.12
858,181.5,14,-13.50,143.12
859,174.5,14,-13.50,143.12
860,187.5,14,-13.50,143.12
861,172.5,14,-13.50,143.12
862,178.5,14,-13.50,143.12
863,198.5,14,-13.50,143.12
864,175.5,14,-13.50,143.12
865,191.5,14,-13.50,143.12
866,177.5,14,-13.50,143.12
867,183.5,14,-13.50,143.12
868,185.5,14,-13.50,143.12
869,183.5,14,-13.50,143.12
870,175.5,14,-13.50,143.12
871,178.5,14,-13.50,143.12
872,162.5,14,-13.50,143.12
873,177.5,14,-13.50,143.12
874,182.5,14,-13.50,143.12
875,187.5,14,-13.50,143.12
876,204.5,14,-13.50,143.12
877,154.5,14,-13.50,143.12
878,185.5,14,-13.50,143.12
879,175.5,14,-13.50,143.12
880,168.5,14,-13.50,143.12
881,175.5,14,-13.50,143.12
882,166.5,14,-13.50,143.12
883,215.5,14,-13.50,143.12
884,185.5,14,-13.50,143.12
885,179.5,14,-13.50,143.12
886,174.5,14,-13.50,143.12
